title,source,publishedAt,url,description
Your article about AI doesn’t need AI art,The Verge,2026-04-11T13:01:26Z,https://www.theverge.com/ai-artificial-intelligence/910460/new-yorker-david-szauder-illustration-generative-ai,"The illustration for The New Yorker's profile of OpenAI CEO Sam Altman is a jump scare. Altman stands in a blue sweater with a blank expression. Around his head hovers a cluster of disembodied faces - creepy alt-Altmans, their expressions ranging from anger t…"
"The Pope’s Warnings About AI Were AI-Generated, a Detection Tool Claims",Wired,2026-04-22T09:30:00Z,https://www.wired.com/story/pope-tweets-ai-generated-pangram-chrome-extension/,Pangram Labs’ updated Chrome extension puts warning labels on AI slop as you scroll your social feeds.
Wikipedia bans AI-generated articles,The Verge,2026-03-26T15:02:52Z,https://www.theverge.com/tech/901461/wikipedia-ai-generated-article-ban,"Wikipedia will no longer allow editors to write or rewrite articles using AI. The update, which was added to Wikipedia's guidelines late last week, cites the tendency for AI-written articles to violate ""several of Wikipedia's core content policies"" as the rea…"
The ‘AI is inevitable’ trap,The Verge,2026-04-17T13:24:34Z,https://www.theverge.com/podcast/913792/ai-divide-sam-altman-vergecast,"In the latest sign of AI silly season, Allbirds, the shoe company, told the world it was now an AI company and briefly managed to septuple its stock price. The Newbird AI story is really just one of a bunch of things this week that made us wonder: have we rea…"
Celebrities will be able to find and request removal of AI deepfakes on YouTube,The Verge,2026-04-21T17:30:24Z,https://www.theverge.com/ai-artificial-intelligence/915872/celebrities-will-be-able-to-find-and-request-removal-of-ai-deepfakes-on-youtube,YouTube is expanding its AI deepfake monitoring feature to Hollywood - meaning some celebrity AI videos could soon disappear. The platform's likeness detection feature searches YouTube for AI deepfake content and flags it for public figures enrolled in the pr…
Cloudflare made a WordPress for AI agents,The Verge,2026-04-10T13:30:02Z,https://www.theverge.com/tech/909730/cloudflare-emdash-wordpress-community,"Cloudflare, the cloud provider that connects millions of sites to the internet, wants to ""fix"" another digital giant: WordPress. It announced a new open-source system, called EmDash, that's supposed to address the ""core problems that WordPress cannot solve"" -…"
TikTok’s policy for AI ads isn’t working,The Verge,2026-03-25T18:02:32Z,https://www.theverge.com/ai-artificial-intelligence/900400/tiktok-ai-ads-labels-samsung-disclosure,"I've been struggling to tell whether the ads appearing in my TikTok feeds have been made with generative AI tools. As someone who spends a great deal of time scrutinizing images and videos for the usual ""tells"" that something was synthetically generated, some…"
AI backlash is coming for elections,The Verge,2026-04-21T19:00:05Z,https://www.theverge.com/policy/916210/ai-midterm-elections-data-centers-jobs,"Ask Americans how they feel about AI and most say they have concerns. Communities have mounted resistance to data center projects, stalling them across the US. On social media, anger at AI companies and executives is unrestrained - sometimes to the point of c…"
This charming gadget writes bad AI poetry,The Verge,2026-04-17T17:11:10Z,https://www.theverge.com/gadgets/913981/poetry-camera-ai-hands-on,"I've never been as charmed and frustrated by one gadget as I have with the Poetry Camera. It's a delightful object. White and cherry red with a color-matched woven strap, it looks playful and adorably lo-fi. If I saw it on a store shelf, I'd absolutely pick i…"
All the latest in AI ‘music’,The Verge,2026-03-30T01:33:51Z,https://www.theverge.com/ai-artificial-intelligence/903196/ai-music-suno-udio-art-lawsuit,"AI has touched every part of the music industry, from sample sourcing and demo recording, to serving up digital liner notes and building playlists. There are technical and legal challenges, fierce ethical debates, and fears that the slop will simply crush wor…"
The AI code wars are heating up,The Verge,2026-04-10T17:45:28Z,https://www.theverge.com/column/910019/ai-coding-wars-openai-google-anthropic,"This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more on the AI coding and vibe-coding booms, follow David Pierce. The Stepback arrives in our subscribers' inboxes at 8AM ET. Opt in for The Stepback here. Ho…"
PSA: Anyone with a link can view your Granola notes by default,The Verge,2026-04-02T21:56:16Z,https://www.theverge.com/ai-artificial-intelligence/906253/granola-note-links-ai-training-psa,"If you use the AI-powered note-taking app Granola, you might want to double-check your privacy settings. Though Granola says your notes are ""private by default,"" it makes them viewable to anyone with a link, and also uses them for internal AI training unless …"
